47	40
7	2
0	0	0	0	0	4	2	2	2	2	3	0	0	0	0	0	0	0	4	2	2	2	2	2	2	2	3	0	4	2	2	2	2	2	2	2	3	0	0	0	0	0	0	0	0	0	0
0	0	4	2	3	4	1	1	1	1	3	4	2	2	2	2	2	3	4	1	1	1	1	1	1	1	3	0	4	1	1	1	1	1	1	1	3	0	0	0	0	0	0	0	0	0	0
0	0	4	1	3	4	1	1	1	1	3	4	1	1	1	1	1	3	4	1	7	8	1	7	8	1	3	0	4	1	1	1	1	7	8	1	3	0	0	0	0	0	0	0	0	0	0
0	0	4	1	3	4	1	1	1	1	3	4	1	1	1	1	1	3	4	1	3	4	1	3	4	1	2	2	2	1	1	1	1	3	4	1	2	2	2	2	2	2	2	2	2	3	0
0	0	4	1	3	4	1	1	1	1	3	4	1	1	1	1	1	3	6	11	5	4	1	3	4	1	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	1	1	1	1	3	0
0	0	4	1	3	6	11	8	1	7	5	4	1	1	1	1	1	3	0	4	2	2	1	3	4	1	1	1	7	8	1	1	1	3	6	11	11	11	11	11	11	11	11	8	1	3	0
0	0	4	1	2	2	2	2	1	3	0	4	1	1	1	1	1	3	0	4	1	1	1	3	4	1	1	1	3	6	11	11	11	5	0	0	0	0	0	0	0	0	0	4	1	3	0
0	0	4	1	1	1	1	1	1	3	0	4	1	1	1	1	1	3	0	4	1	7	11	5	6	11	11	11	5	0	4	2	2	2	2	2	2	2	2	3	0	0	0	4	1	3	0
0	0	6	8	1	7	11	11	11	5	0	4	1	1	1	1	1	3	0	4	1	3	0	0	0	0	0	0	0	0	4	1	1	1	1	1	1	1	1	3	0	0	0	4	1	3	0
0	0	0	4	1	3	4	2	2	2	2	2	1	7	11	8	1	3	0	4	1	3	0	4	2	2	2	2	2	3	4	1	1	1	1	1	1	1	1	2	2	2	3	4	1	3	0
0	0	0	4	1	3	4	1	1	1	1	1	1	3	0	4	1	3	0	4	1	3	0	4	1	1	1	1	1	3	4	1	1	1	1	1	1	1	1	1	1	1	3	4	1	3	0
0	0	0	4	1	3	4	1	1	1	1	1	1	3	0	4	1	2	2	2	1	3	0	4	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	7	8	1	3	4	1	3	0
0	0	0	4	1	2	2	1	1	1	1	1	1	3	0	4	1	1	1	1	1	3	0	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	4	1	3	0
0	0	0	4	1	1	1	1	1	1	1	1	1	3	0	6	11	11	11	11	11	5	0	4	1	1	1	1	1	7	8	1	1	1	1	1	1	1	1	1	1	1	3	4	1	3	0
0	0	0	6	11	11	11	11	11	11	11	11	11	5	0	0	0	0	0	0	4	2	2	2	1	1	1	1	1	3	6	11	11	11	11	11	11	11	11	11	11	11	5	4	1	3	0
